리뷰
스토리도 좋고 색감이 좋았어요
올 상반기 최고의 선택(개인적인 의견) OST도 좋아요
힐링되는 영화
기대 안하고 봤다가 인생에 큰 깨달음을 느끼게 해 준 영화.
진짜진짜 재밌어요!!! 안보면 손해라고 생각합니다. 어른들을 위한 동화고 OST는 달달 그 자체네요. 너무나 놀랍고 감탄했어요. 서로 다른 내가 만나 사랑을 하게 되면서 펼쳐지는 아름답고 환상적인.. 창의력과 기발함의 연속이에요!
tctfrfyhijijikp99
생각보다는 지루함이 많네요
아이들과^♡^
노래도 좋고 한편의 예술작품이었습니다 계속 감탄하면서 봤어요 스토리도 괜찮고요
멋있었어요♡♡♡
평점이 좋은것은 다 이유가 있다는걸 다시 깨닫게 되네요. 요즘사회에 필요한 영화라는 느낌이 드네요. 너무 재밌게 잘봤습니다
간만에 좋은 영화 봤어요
감동적이고 잼있어요
중간중간 눈물도나고 잼있음
OST 하나만으로 재관람 의사가 생긴다
재밌게 잘 봤습니다
재밌게 잘 봤어요
재미있게 잘봤어요 감동적이네요
잘 보았습니다
즐겁고 행복한 감동
너무 잼나요~
영화 재미있게 잘 봤습니다:)
오랜만에 픽사다운 영화였다.
아이디어와 극 흐름이 좋았던 작품이였네요..
40대 아조씨 혼자 찔찔 짜면서 봤네요 ㅠ
영화는 따뜻하고 감동적
재밌었어요
힐링되는 영화
대사 하나하나 다 주옥 같네요 너무 마음에 와닿았어요
영화보는 내내 그래서 물이랑 불이랑 닿으면 어떻게 되는데? 라는 생각밖에 들지않았다... 구름아이라도 생기나 했는데 ㅋㅋㅋ
역시 디즈니 감성 한국재미교표 감독이라 곳곳에 한국정서가 담겨져있어 좋았고 무엇보다 그녀와함께 추억의 장소에서 디즈니영화를 재미있게 보았고 그녀도 재미있게 봐서 행복한 하루였음 OST 2~3곡 도 좋았음 소소하게 감동 기쁨 잔잔
영화 재밌게 봤어요.
물질들 의인화하면서 가족과 사회에 관한 메시지를 전달하는게 참신했습니다. 음악과 영상도 아주 좋았습니다
물과 불의 러브스토리 참신하고 재밌음
잘봤습니다
물과불 재밌었어요
좀 지루했어요
넘 따수운 영화였어요 노래도 좋고 재밌게 봐서 디플에 올라오면 또 볼 예정이에요!
역시 디즈니픽사 재밌었음
재밌어요~ 디즈니가 디즈니했네요!! 영상이 화려합니다~
아주 전형적인 찌개의 맛이었음
재밌게 잘 봤습니다. 3D로도 보고싶어요~
상상력은 디즈니의 힘입니다. 주제는 익숙하지만 그것을 표현해내는 방식은 아주 흥미롭습니다
"영화는 초반에 약간 너무 빠르게 흘러가지만, 시간이 지날수록 속도가 붙습니다. 애니메이션은 최고 수준이며, 이야기는 가슴 따뜻하고 생각할 거리를 줍니다. 전체적으로 잘 만들어진 영화로 주토피아의 팬들에게 꼭 추천하고 싶습니다"
캐릭터들이 매력있고 음악도 좋았어요
아이들이 좋아합니다. ㅎㅎ
기대보다는 살짝 아쉬웠지만 그래도 재밌었어요
시간 가는 줄 모르고 봤습니다
역시 픽사! 업을 능가하는 재미 감동 사랑이 넘치는 가슴 따뜻한 애니메이션
상상력의 나라는 끝이없고 아름답다~
웨이드가 너무 귀여웠음
